account_id,company_name,crm_record_id,customer_status,owner,lifecycle_stage,open_opportunity,last_touch_date,do_not_contact,notes
acc_001,Northstar Ledger,crm_acc_001,customer,alex.morgan,customer,true,2026-08-01,false,
acc_002,Harborline Systems,crm_acc_002,prospect,samira.lee,opportunity,true,2026-08-09,false,
acc_003,Morrow Mobility,crm_acc_003,prospect,unassigned,lead,false,,false,
acc_004,Cedar & Finch Advisory,crm_acc_004,prospect,priya.nair,opportunity,true,2026-08-17,false,
acc_005,Brightforge Manufacturing,crm_acc_005,prospect,oliver.bennett,opportunity,true,2026-08-21,false,
acc_006,Meadowbridge Health,crm_acc_006,prospect,unassigned,lead,false,,false,
acc_007,Atelier Nova,crm_acc_007,prospect,unassigned,lead,false,2026-07-13,false,
acc_008,Summit Grid Authority,crm_acc_008,not_applicable,unassigned,not_applicable,false,,true,
acc_009,Asterline Analytics,crm_acc_009,prospect,priya.nair,opportunity,true,2026-08-14,false,
acc_010,Bluehaven Labs,crm_acc_010,customer,oliver.bennett,customer,true,2026-08-01,false,
acc_011,Copperleaf Collective,crm_acc_011,churned,alex.morgan,churned,false,2026-06-20,false,
acc_012,Deltaforge Commerce,crm_acc_012,prospect,unassigned,lead,false,,false,
acc_013,Emberfield Mobility,crm_acc_013,prospect,thomas.chen,opportunity,true,2026-08-07,false,
acc_014,Fableworks Services,crm_acc_014,customer,priya.nair,customer,true,2026-08-13,false,
acc_015,Graniteway Works,crm_acc_015,prospect,unassigned,lead,false,,false,
acc_016,Juniperlane Networks,crm_acc_016,churned,alex.morgan,churned,false,2026-05-16,false,
acc_017,Latticepoint Industries,crm_acc_017,prospect,unassigned,lead,false,,false,
acc_018,Meadowcrest Energy,crm_acc_018,prospect,thomas.chen,opportunity,true,2026-08-27,false,
acc_019,Northstar Cloud,crm_acc_019,churned,priya.nair,churned,false,2026-05-31,false,
acc_020,Orbitwell Systems,crm_acc_020,prospect,unassigned,lead,false,,false,
acc_021,Pinebridge Digital,crm_acc_021,prospect,unassigned,lead,false,,false,
acc_022,Quartzline Platforms,crm_acc_022,prospect,unassigned,lead,false,,false,
